partition,direction,objective,cycle_gate,cycle_weight,n_queries,mean_effective_cycle_weight,baseline_mrr,reranked_mrr,delta_mrr,baseline_hit_at_3,reranked_hit_at_3,delta_hit_at_3,new_hits_at_3,lost_hits_at_3,baseline_hit_at_10,reranked_hit_at_10,delta_hit_at_10,new_hits_at_10,lost_hits_at_10,baseline_hit_at_20,reranked_hit_at_20,delta_hit_at_20,new_hits_at_20,lost_hits_at_20,selection_budget,promotion_status
confirmation,enzyme_to_reaction,top10,all,0.0,3,0.0,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,3,evidence_only_no_route_change
confirmation,enzyme_to_reaction,top10,all,0.0,3,0.0,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,10,evidence_only_no_route_change
confirmation,enzyme_to_reaction,top10,all,0.0,3,0.0,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,20,evidence_only_no_route_change
confirmation,enzyme_to_reaction,top20,all,0.2,3,0.20000000000000004,0.5666666666666667,0.5666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,3,evidence_only_no_route_change
confirmation,enzyme_to_reaction,top20,all,0.2,3,0.20000000000000004,0.5666666666666667,0.5666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,10,evidence_only_no_route_change
confirmation,enzyme_to_reaction,top20,all,0.2,3,0.20000000000000004,0.5666666666666667,0.5666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,20,evidence_only_no_route_change
confirmation,enzyme_to_reaction,top3,all,0.0,3,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,3,evidence_only_no_route_change
confirmation,enzyme_to_reaction,top3,all,0.0,3,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,10,evidence_only_no_route_change
confirmation,enzyme_to_reaction,top3,all,0.0,3,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,20,evidence_only_no_route_change
confirmation,reaction_to_enzyme,top10,all,0.0,3,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,3,evidence_only_no_route_change
confirmation,reaction_to_enzyme,top10,all,0.0,3,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,10,evidence_only_no_route_change
confirmation,reaction_to_enzyme,top10,all,0.0,3,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,20,evidence_only_no_route_change
confirmation,reaction_to_enzyme,top20,all,0.0,3,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,3,evidence_only_no_route_change
confirmation,reaction_to_enzyme,top20,all,0.0,3,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,10,evidence_only_no_route_change
confirmation,reaction_to_enzyme,top20,all,0.0,3,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,20,evidence_only_no_route_change
confirmation,reaction_to_enzyme,top3,all,0.0,3,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,3,evidence_only_no_route_change
confirmation,reaction_to_enzyme,top3,all,0.0,3,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,10,evidence_only_no_route_change
confirmation,reaction_to_enzyme,top3,all,0.0,3,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,20,evidence_only_no_route_change
